epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.32,1.22303,2.82882,1.14141,0.00333,1,0.95459,0.64792,0.97835,3.54607,0.92052,0.0004,0.0004,0.0004
2,133.589,1.07702,1.96351,1.03534,0.71313,0.13461,0.71951,0.5528,1.03135,3.19438,0.92003,0.000803764,0.000803764,0.000803764
3,197.579,1.11444,1.67286,1.06886,1,0.20989,0.7578,0.58723,0.84278,2.89384,0.89461,0.0011909,0.0011909,0.0011909
4,261.967,1.24936,1.79049,1.13257,0.68985,0.82003,0.74462,0.52909,1.11882,2.5073,0.95509,0.0015614,0.0015614,0.0015614
5,326.038,1.14797,1.61372,1.08557,0.61106,0.74449,0.76957,0.51113,1.05276,2.46098,0.98084,0.0018416,0.0018416,0.0018416
6,390.752,1.12083,1.59926,1.11277,0.84338,1,0.93699,0.63512,1.10936,1.90485,1.09378,0.001802,0.001802,0.001802
7,458.539,1.04043,1.41975,1.05641,0.85605,1,0.935,0.6348,1.11825,1.82051,0.97338,0.0017624,0.0017624,0.0017624
8,523.173,1.10197,1.33792,1.0653,0.94879,0.97571,0.974,0.72079,0.92757,1.62334,0.98652,0.0017228,0.0017228,0.0017228
9,588.381,1.03586,1.31672,1.05516,0.89965,1,0.9875,0.71778,0.99278,1.54177,0.96495,0.0016832,0.0016832,0.0016832
10,653.611,1.08994,1.21934,1.08761,1,0.99327,0.995,0.81443,0.89592,1.32389,0.90268,0.0016436,0.0016436,0.0016436
11,718.172,1.04471,1.22364,1.06392,0.94831,0.96627,0.9925,0.73483,0.94556,1.72941,0.92877,0.001604,0.001604,0.001604
12,782.728,1.0039,1.12366,1.04457,0.70037,0.98461,0.90867,0.72249,0.83041,1.83777,0.89343,0.0015644,0.0015644,0.0015644
13,847.54,0.98872,1.06353,1.03277,0.77038,0.94737,0.90987,0.73629,0.87571,1.76687,0.88248,0.0015248,0.0015248,0.0015248
14,912.84,0.98344,1.0126,1.04183,0.99508,0.94737,0.99024,0.78989,0.824,1.15587,0.87103,0.0014852,0.0014852,0.0014852
15,977.505,1.01218,0.97994,1.04326,0.99551,1,0.995,0.8171,0.72812,1.01618,0.85049,0.0014456,0.0014456,0.0014456
16,1041.98,0.97294,0.99851,1.0362,0.99133,1,0.995,0.80629,0.74791,0.97001,0.87496,0.001406,0.001406,0.001406
17,1106.84,0.90719,0.89816,0.9951,0.99651,1,0.995,0.77973,0.80269,0.94435,0.85582,0.0013664,0.0013664,0.0013664
18,1172.02,0.92636,0.92228,1.02452,0.99601,1,0.995,0.82264,0.81288,0.8559,0.84894,0.0013268,0.0013268,0.0013268
19,1237.13,0.92839,0.92101,0.98769,0.99649,1,0.995,0.80078,0.85188,0.86451,0.85031,0.0012872,0.0012872,0.0012872
20,1301.8,0.88137,0.83485,0.97998,0.9948,1,0.995,0.8234,0.70939,0.86786,0.86654,0.0012476,0.0012476,0.0012476
21,1367.49,0.84551,0.82034,0.96272,0.99572,1,0.995,0.80188,0.95663,0.84929,0.87099,0.001208,0.001208,0.001208
22,1432.34,0.86051,0.80065,0.99685,0.99583,1,0.995,0.80201,0.76059,0.79436,0.83795,0.0011684,0.0011684,0.0011684
23,1498.05,0.906,0.81331,0.99591,0.99646,1,0.995,0.82471,0.77157,0.784,0.84846,0.0011288,0.0011288,0.0011288
24,1562.02,0.8361,0.78182,0.96962,0.99663,1,0.995,0.85674,0.71886,0.6895,0.84185,0.0010892,0.0010892,0.0010892
25,1625.75,0.79273,0.72494,0.94834,0.99673,1,0.995,0.84319,0.82979,0.74798,0.83608,0.0010496,0.0010496,0.0010496
26,1689.43,0.78453,0.70724,0.9339,0.99668,1,0.995,0.84525,0.87658,0.75881,0.82721,0.00101,0.00101,0.00101
27,1753.82,0.83351,0.73917,0.98105,0.99625,1,0.995,0.84047,0.73469,0.63436,0.8234,0.0009704,0.0009704,0.0009704
28,1821.39,0.83694,0.71552,0.95369,0.99582,1,0.995,0.80741,0.81395,0.6422,0.83987,0.0009308,0.0009308,0.0009308
29,1885.71,0.80159,0.68893,0.96022,0.99595,1,0.995,0.83294,0.62417,0.64389,0.83473,0.0008912,0.0008912,0.0008912
30,1949.78,0.79557,0.6683,0.96165,0.99632,1,0.995,0.8808,0.62053,0.64073,0.81303,0.0008516,0.0008516,0.0008516
31,2014.37,0.75742,0.65269,0.9499,0.99677,1,0.995,0.85212,0.74358,0.58416,0.83056,0.000812,0.000812,0.000812
32,2079.14,0.76058,0.6439,0.94739,0.99699,1,0.995,0.86638,0.73266,0.58752,0.83508,0.0007724,0.0007724,0.0007724
33,2143.42,0.77655,0.67492,0.9611,0.99677,1,0.995,0.8504,0.72913,0.54257,0.83061,0.0007328,0.0007328,0.0007328
34,2207.55,0.78784,0.63833,0.95177,0.99677,1,0.995,0.84063,0.8787,0.58701,0.83325,0.0006932,0.0006932,0.0006932
35,2271.49,0.75576,0.60231,0.94456,0.99692,1,0.995,0.83163,0.84666,0.57928,0.8302,0.0006536,0.0006536,0.0006536
36,2335.63,0.72886,0.61684,0.93542,0.99675,1,0.995,0.83727,0.8012,0.57169,0.82272,0.000614,0.000614,0.000614
37,2399.75,0.74265,0.63109,0.94935,0.99624,1,0.995,0.84256,0.79694,0.5568,0.82684,0.0005744,0.0005744,0.0005744
38,2463.23,0.71173,0.59623,0.92166,0.99648,1,0.995,0.86937,0.78246,0.52036,0.83927,0.0005348,0.0005348,0.0005348
39,2526.89,0.7388,0.60157,0.92938,0.99676,1,0.995,0.87571,0.7276,0.50336,0.81332,0.0004952,0.0004952,0.0004952
40,2591.33,0.71797,0.57458,0.91931,0.9969,1,0.995,0.86372,0.65879,0.48852,0.80332,0.0004556,0.0004556,0.0004556
41,2655.42,0.60985,0.54935,0.83593,0.99707,1,0.995,0.88173,0.72888,0.52778,0.81136,0.000416,0.000416,0.000416
42,2719.06,0.59795,0.54566,0.86155,0.99713,1,0.995,0.85483,0.78788,0.53334,0.81424,0.0003764,0.0003764,0.0003764
43,2783.37,0.58718,0.54956,0.84942,0.99724,1,0.995,0.85792,0.72332,0.48415,0.81142,0.0003368,0.0003368,0.0003368
44,2849.37,0.57583,0.51335,0.83284,0.99715,1,0.995,0.88581,0.68973,0.48046,0.8053,0.0002972,0.0002972,0.0002972
45,2913.63,0.57678,0.50528,0.85282,0.99706,1,0.995,0.88625,0.68139,0.49196,0.80013,0.0002576,0.0002576,0.0002576
46,2978.03,0.54869,0.50059,0.83743,0.99701,1,0.995,0.88372,0.67166,0.51075,0.79794,0.000218,0.000218,0.000218
47,3042.06,0.56515,0.49722,0.8563,0.997,1,0.995,0.87615,0.65208,0.49399,0.79742,0.0001784,0.0001784,0.0001784
48,3109.08,0.54985,0.48482,0.83502,0.99699,1,0.995,0.87136,0.63526,0.49011,0.79817,0.0001388,0.0001388,0.0001388
49,3172.84,0.53164,0.47037,0.83789,0.997,1,0.995,0.87547,0.63354,0.4922,0.79586,9.92e-05,9.92e-05,9.92e-05
50,3236.91,0.54253,0.47848,0.84631,0.99709,1,0.995,0.87581,0.65014,0.4892,0.79734,5.96e-05,5.96e-05,5.96e-05
